,brand,name,original,sell
0,Yves Saint Laurent,L'Homme Intense,583,415
1,Dolce & Gabbana,The One For Men,571,496
2,Maison Margiela,'REPLICA' At The Barber's,536,Original price
3,Cartier,L'Envol de Cartier,567,373
4,Guerlain,Oud Essentiel,768,Original price
5,Givenchy,Gentleman Givenchy,462,338
6,HermÃ¨s,Terre d'HermÃ¨s Eau Intense VÃ©tiver,520,384
7,Neâ€™emah,Desert Rose,405,Original price
8,DIOR,Sauvage Eau de Toilette,755,360
9,Paco Rabanne,One Million Lucky,395,300
10,Neâ€™emah,Laya Value Set,500,Original price
11,Maison Margiela,'REPLICA' Sailing Day,536,Original price
12,Maison Margiela,'REPLICA' Music Festival,536,Original price
13,Guerlain,L'Homme IdÃ©al L'Intense,559,402
14,Giorgio Armani,Acqua Di Gio Absolu,573,441
15,DIOR,Dior Homme Sport,680,Original price
16,DIOR,Dior Homme Sport Very Cool Spray,370,Original price
17,Kilian,Black Phantom â€“ â€œMEMENTO MORIâ€�,"1,545",Original price
18,Kilian,Gold Knight,"1,545",Original price
19,Kilian,On the Rocks,"1,499",Original price
20,Kilian,Intoxicated,"1,380",Original price
21,Kilian,Intoxicated - Travel Spray Set,745,Original price
22,Kilian,Intoxicated â€“ Refill,645,Original price
23,Kilian,Musk Oud - Refill Spray,790,Original price
24,Kilian,Musk Oud,"1,735",Original price
25,Kilian,"Straight To Heaven, White Cristal - Refil Spray",620,Original price
26,Kilian,"Straight To Heaven, White Cristal","1,255",Original price
27,Kilian,"Straight To Heaven, White Cristal - Travel Spray Set",720,Original price
28,Guerlain,Musc Noble,768,Original price
29,Narciso Rodriguez,Narciso Rodriguez Rouge,591,441
30,Burberry,Mr. Burberry Indigo,483,336
31,DIOR,Eau Sauvage ExtrÃªme Eau de Toilette,555,395
32,DIOR,Higher Energy Eau de Toilette,505,Original price
33,Roberto Cavalli,Uomo Eau de Toilette,452,342
34,Giorgio Armani,Emporio Armani Stronger With You,415,310
35,Paco Rabanne,Pure XS,395,300
36,Roberto Cavalli,Roberto Cavalli Uomo Silver Essence,452,342
37,Hugo Boss,Boss Bottled Intense,424,350
38,Davidoff,Davidoff Amber Blend,420,Original price
39,Hugo Boss,Boss The Scent Intense For Him,467,363
40,Givenchy,Gentleman Givenchy,420,300
41,HermÃ¨s,Terre d'HermÃ¨s Eau de Toilette,741,352
42,HermÃ¨s,Terre d'HermÃ¨s Parfum,951,531
43,HermÃ¨s,Terre d'HermÃ¨s Eau TrÃ¨s FraÃ®che,499,340
44,HermÃ¨s,Voyage d'HermÃ¨s Parfum,620,Original price
45,HermÃ¨s,Eau d'Orange Verte Eau de Cologne,420,Original price
46,HermÃ¨s,Eau de NÃ©roli DorÃ© Eau de Cologne,473,Original price
47,Calvin Klein,Calvin Klein Obsessed for Him,426,310
48,Carolina Herrera,212 VIP Black,415,315
49,Valentino,Valentino Uomo Noir,510,Original price
50,Tom Ford,Sole di Positano,"2,593",985
51,Tom Ford,OmbrÃ© Leather 16,"2,593",985
52,Tom Ford,Noir Anthracite,655,505
53,Tom Ford,Neroli Portofino Forte,"3,500","1,331"
54,Tom Ford,Oud Wood Intense,99.90,Original price
55,Cartier,L'Envol de Cartier,452,336
56,Lacoste,Lacoste L'Homme,389,289
57,Paco Rabanne,Invictus Aqua,395,300
58,Neâ€™emah,Bijou Oud,420,Original price
59,Neâ€™emah,Oriental Musk,350,Original price
60,DIOR,Sauvage Eau de Parfum,540,395
61,Roberto Cavalli,Florence,500,405
62,Neâ€™emah,ChÃ¢teau Rouge,350,Original price
63,Neâ€™emah,Shahla,405,Original price
64,Neâ€™emah,Jadis,350,Original price
65,Marco Serussi,Marco Serussi The Man Gift Set,364,Original price
66,Paco Rabanne,1 Million PrivÃ©,435,330
67,Tom Ford,Jasmin Rouge,99.90,Original price
68,Cartier,Pasha de Cartier Edition Noire Sport,483,Original price
69,Prada,Luna Rossa Carbon,445,330
70,Prada,L'Homme Prada Intense,99.90,Original price
71,Valentino,Uomo Acqua,460,350
72,Gucci,Gucci Oud,688,515
73,Gucci,Gucci Intense Oud,688,Original price
74,DIOR,Dior Eau Sauvage Parfum,750,350
75,DIOR,Sauvage Very Cool Spray - Fresh Eau De Toilette,370,Original price
76,Hugo Boss,Boss Bottled Tonic,410,321
77,Narciso Rodriguez,For Her Amber Musc Eau de Parfum Intense,746,Original price
78,Narciso Rodriguez,For Him Eau de Toilette,99.99,Original price
79,Ralph Lauren,Polo Supreme Cashmere,515,Original price
80,Dolce & Gabbana,Intenso,496,376
81,Prada,L'Homme Prada,480,345
82,Calvin Klein,Liquid Gold Men,415,Original price
83,Calvin Klein,Pure Gold Euphoria Men,431,Original price
84,Ralph Lauren,Polo Red Extreme,541,405
85,Guerlain,Guerlain Homme,402,Original price
86,Paco Rabanne,1 Million PrivÃ©,435,Original price
87,Cartier,Eau de Cartier,483,Original price
88,Dolce & Gabbana,The One Royal Night,630,546
89,Tom Ford,Vert de Fleur,"2,593",985
90,Guerlain,L'Homme IdÃ©al,560,402
91,Guerlain,L'Homme IdÃ©al,512,363
92,Guerlain,Ambre Eternel,768,Original price
93,Tom Ford,Vert des Bois,"2,593",985
94,Tom Ford,Vert Boheme,"2,593",985
95,Histoires de Parfums,This Is Not A Blue Bottle 1.2,531,374
96,Histoires de Parfums,This Is Not A Blue Bottle 1.3,531,374
97,Bvlgari,Aqva Pour Homme Atlantique,441,Original price
98,Gucci,Guilty Absolute Pour Homme,515,389
99,Giorgio Armani,Armani Code Colonia,499,352
100,DIOR,Dior Homme Sport Eau de Toilette,505,325
101,DIOR,Dior Homme Intense Eau de Parfum,665,395
102,DIOR,Dior Homme Cologne,755,395
103,DIOR,Fahrenheit Eau de Toilette,505,360
104,DIOR,Fahrenheit Cologne,505,360
105,DIOR,Eau Sauvage Eau de Toilette,505,360
106,DIOR,Eau Sauvage Cologne,505,360
107,Hugo Boss,Hugo Iced,363,289
108,Tom Ford,Vert dâ€™Encens,"2,593",985
109,Burberry,Mr Burberry,473,336
110,Maison Margiela,'REPLICA' Fantasies: Across Sands,702,Original price
111,Elie Saab,Nuit Noor,666,Original price
112,Guerlain,Santal Royal,768,Original price
113,Valentino,Valentino Uomo Intense,460,360
114,Cartier,Pasha De Cartier,447,Original price
115,Tom Ford,Plum Japonais,985,Original price
116,Neâ€™emah,Ne'emah Pour Homme,350,Original price
117,Cartier,DÃ©claration Essence,478,Original price
118,Hugo Boss,Hugo Red,289,Original price
119,Tom Ford,Rive D'Ambre,985,Original price
120,Bvlgari,Pour Homme Soir,457,Original price
121,Cartier,DÃ©claration D'Un Soir Intense,510,Original price
122,Chopard,Chopard Amber Malaki,515,Original price
123,Tom Ford,Fleur De Portofino,985,Original price
124,Neâ€™emah,Laya,350,Original price
125,Hugo Boss,Boss Bottled Unlimited,389,Original price
126,Marco Serussi,Marco Serussi Blue,314,Original price
127,Tom Ford,Tuscan Leather,"2,593",985
128,Lacoste,Eau De Lacoste L.12.12 Noir,373,Original price
129,Bvlgari,Pour Homme,457,Original price
130,Roberto Cavalli,Roberto Cavalli Oud Edition,352,Original price
131,Roberto Cavalli,Just Gold For Him,295,Original price
132,Marco Serussi,Marco Serussi Oud,338,Original price
133,Calvin Klein,Calvin Klein Eternity For Men,336,Original price
134,Paco Rabanne,1 Million Absolutely Gold,470,Original price
135,Chopard,Chopard Mille Miglia Extreme,420,Original price
136,Tom Ford,Shanghai Lily,985,Original price
137,Davidoff,Davidoff Agar Blend,420,Original price
138,Chopard,Chopard Oud Malaki,510,Original price
139,Tom Ford,Italian Cypress,985,Original price
140,Davidoff,Davidoff Leather Blend,420,Original price
141,Maison Margiela,'REPLICA' Fantasies: Dancing On the Moon,702,Original price
142,Chopard,Chopard Rose Malaki,357,Original price
143,DIOR,Dior Homme Parfum,610,Original price
